degradeReadReplicas, filename /tmp262144replicas.dat, loop 1000
/tmp262144replicas.dat is a ReplicasFile!
starting benchmark...
Loop 327 (us) 49.08
Loop 328 (us) 49.233
Loop 329 (us) 48.71
Loop 330 (us) 48.906
Loop 331 (us) 48.976
Loop 332 (us) 49.01
Loop 333 (us) 48.686
Loop 334 (us) 48.73
Loop 335 (us) 48.856
Loop 336 (us) 48.932
Loop 337 (us) 49.14
Loop 338 (us) 49.009
Loop 339 (us) 48.447
Loop 340 (us) 48.15
Loop 341 (us) 48.637
Loop 342 (us) 48.706
Loop 343 (us) 48.55
Loop 344 (us) 48.637
Loop 345 (us) 48.739
Loop 346 (us) 48.628
Loop 347 (us) 48.402
Loop 348 (us) 48.558
Loop 349 (us) 49.872
Loop 350 (us) 49.508
Loop 351 (us) 50.217
Loop 352 (us) 49.041
Loop 353 (us) 48.727
Loop 354 (us) 48.637
Loop 355 (us) 48.619
Loop 356 (us) 48.361
Loop 357 (us) 48.444
Loop 358 (us) 48.507
Loop 359 (us) 48.812
Loop 360 (us) 48.436
Loop 361 (us) 48.728
Loop 362 (us) 49.134
Loop 363 (us) 48.99
Loop 364 (us) 48.249
Loop 365 (us) 48.134
Loop 366 (us) 48.814
Loop 367 (us) 49.231
Loop 368 (us) 48.433
Loop 369 (us) 48.176
Loop 370 (us) 48.641
Loop 371 (us) 49.027
Loop 372 (us) 48.985
Loop 373 (us) 49.021
Loop 374 (us) 48.708
Loop 375 (us) 48.566
Loop 376 (us) 48.686
Loop 377 (us) 48.51
Loop 378 (us) 59.324
Loop 379 (us) 49.757
Loop 380 (us) 51.207
Loop 381 (us) 50.058
Loop 382 (us) 48.848
Loop 383 (us) 48.837
Loop 384 (us) 48.345
Loop 385 (us) 48.819
Loop 386 (us) 48.006
Loop 387 (us) 48.789
Loop 388 (us) 48.557
Loop 389 (us) 48.612
Loop 390 (us) 48.776
Loop 391 (us) 48.329
Loop 392 (us) 48.914
Loop 393 (us) 48.482
Loop 394 (us) 48.788
Loop 395 (us) 59.602
Loop 396 (us) 48.987
Loop 397 (us) 48.692
Loop 398 (us) 48.733
Loop 399 (us) 49.169
Loop 400 (us) 48.571
Loop 401 (us) 48.338
Loop 402 (us) 48.962
Loop 403 (us) 49.047
Loop 404 (us) 49.037
Loop 405 (us) 48.546
Loop 406 (us) 48.487
Loop 407 (us) 48.622
Loop 408 (us) 49.97
Loop 409 (us) 48.827
Loop 410 (us) 48.451
Loop 411 (us) 49.368
Loop 412 (us) 49.412
Loop 413 (us) 49.106
Loop 414 (us) 48.71
Loop 415 (us) 48.91
Loop 416 (us) 49.308
Loop 417 (us) 48.684
Loop 418 (us) 48.555
Loop 419 (us) 50.698
Loop 420 (us) 49.493
Loop 421 (us) 49.043
Loop 422 (us) 48.856
Loop 423 (us) 48.711
Loop 424 (us) 49.078
Loop 425 (us) 49.073
Loop 426 (us) 48.148
Loop 427 (us) 48.688
Loop 428 (us) 49.076
Loop 429 (us) 49.204
Loop 430 (us) 48.584
Loop 431 (us) 59.154
Loop 432 (us) 49.969
Loop 433 (us) 52.09
