No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec,NativeecTimes,HydraTimes,MicroecTimes,,,
1528,2056,GET,FALSE,5.3,19.308,16.297,8.726,3.64,3.07,1.65,,,
5626,2056,GET,FALSE,4.529,11.248,11.8,8.268,2.48,2.61,1.83,,,
4404,2056,GET,FALSE,4.69,15.012,14.685,10.27,3.2,3.13,2.19,,,
8825,2056,GET,FALSE,4.615,13.777,13.122,11.091,2.99,2.84,2.4,,,
642,2056,PUT,FALSE,14.216,74.567,50.531,24.518,5.25,3.55,1.72,,,
1037,2056,GET,TRUE,5.261,17.677,18.759,11.56,3.36,3.57,2.2,,,
8947,2056,GET,TRUE,5.089,13.614,20.207,12.562,2.68,3.97,2.47,,,
10043,2056,GET,FALSE,4.665,16.871,13.818,9.213,3.62,2.96,1.97,,,
5009,2056,GET,TRUE,4.894,19.631,17.043,12.093,4.01,3.48,2.47,,,
2501,2056,PUT,FALSE,14.053,36.868,38.589,22.349,2.62,2.75,1.59,,,
1929,2056,GET,FALSE,4.253,17.254,16.423,9.776,4.06,3.86,2.3,,,
4622,2056,GET,FALSE,5.2,17.182,13.681,11.398,3.3,2.63,2.19,,,
4959,2056,GET,TRUE,5.038,24.259,16.606,12.91,4.82,3.3,2.56,,,
4998,2056,GET,FALSE,5.155,25.622,13.415,9.788,4.97,2.6,1.9,,,
10131,2056,GET,FALSE,4.853,13.557,12.165,9.061,2.79,2.51,1.87,,,
3433,2060,GET,FALSE,4.646,12.814,10.801,7.661,2.76,2.32,1.65,,,
636,2060,GET,TRUE,5.027,27.317,17.012,11.447,5.43,3.38,2.28,,,
1682,2060,GET,FALSE,4.63,16.219,14.947,7.81,3.5,3.23,1.69,,,
10681,2060,GET,FALSE,5.653,9.302,19.539,9.357,1.65,3.46,1.66,,,
1350,2060,GET,FALSE,5.067,20.912,14.28,12.148,4.13,2.82,2.4,,,
6706,2060,GET,TRUE,5.396,20.355,17.434,12.528,3.77,3.23,2.32,,,
131,2060,GET,FALSE,5.316,20.05,17.641,10.263,3.77,3.32,1.93,,,
6066,2060,GET,TRUE,17.177,51.154,46.101,16.45,2.98,2.68,0.96,,,
405,2060,GET,FALSE,5.015,20.734,13.919,9.573,4.13,2.78,1.91,,,
1704,2060,GET,FALSE,5.924,26.475,21.303,10.055,4.47,3.6,1.7,,,
1055,2060,PUT,FALSE,36.712,83.093,70.624,56.989,2.26,1.92,1.55,,,
6567,2060,GET,FALSE,5.361,10.271,12.351,9.059,1.92,2.3,1.69,,,
