22283.897,R,132939776
1714.491,R,9879552
3736.097,R,22102016
15522.298,R,86900736
1870.308,R,10764288
2520.145,R,14663680
7554.512,R,43368448
209.571,R,655360
8724.688,R,52920320
53.364,R,16384
471.417,R,2080768
48.877,R,16384
118.367,R,294912
3232.675,R,19169280
1768.624,R,10190848
59.473,R,65536
8532.784,R,51478528
19312.881,R,117899264
113.8,R,294912
42.563,R,16384
434.321,R,1916928
201.238,R,655360
592.967,R,2949120
53.615,R,49152
201.566,R,671744
6860.533,R,36782080
51.604,R,16384
2876.965,R,14663680
4425.065,R,26443776
65.661,R,65536
8974.789,R,54394880
1655.477,R,9338880
475.535,R,2097152
519.448,R,2162688
3027.609,R,17743872
13238.253,R,68943872
9585.939,R,52412416
9232.269,R,54394880
8736.052,R,52412416
58.74,R,16384
2686.39,R,12664832
653.121,R,2949120
477.853,R,2080768
14477.983,R,54394880
51.275,R,16384
1728.942,R,9388032
445.145,R,1867776
54.972,R,32768
14323.212,R,86900736
77.219,R,65536
293.461,R,901120
18431.883,R,65699840
147.501,R,147456
1680.44,R,9338880
3249.74,R,16187392
75.558,R,65536
517.633,R,2310144
57.378,R,65536
12575.55,R,67305472
2654.529,R,15548416
56.401,R,32768
8513.247,R,51478528
5123.25,R,30720000
49.055,R,16384
8986.982,R,54394880
14441.273,R,54394880
1659.583,R,9338880
213.625,R,655360
2738.398,R,16187392
1571.282,R,9027584
1869.131,R,10764288
499.226,R,2310144
492.417,R,2310144
678.71,R,3522560
48.549,R,16384
69.182,R,32768
4724.646,R,28229632
347.675,R,1490944
8911.667,R,51478528
1397.121,R,7946240
48.008,R,16384
55.533,R,65536
20101.951,R,65880064
53.426,R,16384
211.987,R,704512
61.755,R,147456
37.676,R,16384
3692.938,R,19578880
482.462,R,2097152
1395.14,R,7946240
109.975,R,294912
1207.153,R,6782976
21120.365,R,128532480
43.421,R,16384
9024.991,R,54394880
46.462,R,32768
37.889,R,16384
199.804,R,655360
35.13,R,16384
472.888,R,2080768
69.53,R,147456
494.558,R,2310144
40.907,R,16384
37.491,R,16384
43.956,R,32768
489.36,R,2228224
888.88,R,4833280
42.57,R,32768
3418.884,R,20398080
105.834,R,294912
1662.047,R,9388032
485.085,R,2195456
1975.714,R,7241728
261.674,R,901120
919.321,R,4931584
45.886,R,49152
37.582,R,16384
38.301,R,16384
1896.816,R,11059200
278.059,R,671744
494.437,R,2310144
2521.82,R,14663680
52.779,R,65536
306.583,R,1064960
2653.597,R,15548416
312.125,R,1064960
493.346,R,2310144
2033.199,R,11747328
5144.646,R,30720000
44.282,R,32768
37.174,R,16384
2743.972,R,16187392
8991.13,R,54394880
44.29,R,32768
346.036,R,1507328
481.424,R,2113536
595.895,R,2949120
42.982,R,16384
661.189,R,3342336
257.71,R,884736
522.19,R,2375680
235.457,R,819200
243.547,R,884736
44.975,R,65536
7168.828,R,43204608
236.577,R,819200
186.312,R,655360
9251.799,R,55967744
7180.149,R,43368448
454.77,R,1982464
9024.257,R,52412416
43.884,R,32768
5121.761,R,30720000
1570.04,R,9027584
40.533,R,16384
2733.852,R,16187392
484.894,R,2195456
136.32,R,294912
43.456,R,16384
3843.58,R,22331392
493.909,R,2310144
469.33,R,2080768
14482.534,R,54394880
46.856,R,32768
43.62,R,49152
38.101,R,16384
36.813,R,16384
495.698,R,2195456
2375.344,R,13910016
913.295,R,4931584
474.002,R,2097152
1642.939,R,9338880
2739.914,R,16187392
663.935,R,3342336
40.355,R,16384
107.89,R,311296
346.567,R,1507328
829.248,R,4341760
348.797,R,1507328
38.731,R,16384
490.655,R,2310144
431.246,R,1900544
39.403,R,16384
199.958,R,655360
596.309,R,2949120
9270.678,R,53280768
1648.641,R,9338880
21824.352,R,132939776
26855.603,R,83017728
8556.621,R,51478528
45.612,R,16384
44.41,R,49152
312.271,R,1064960
3810.703,R,22740992
1652.4,R,9338880
866.126,R,4734976
5135.841,R,30720000
677.526,R,3440640
763.385,R,3981312
42.487,R,16384
237.433,R,819200
45.692,R,65536
309.316,R,1064960
3343.476,R,19791872
49.995,R,65536
1059.232,R,5865472
1865.68,R,10764288
427.242,R,1900544
6314.908,R,37994496
118.986,R,344064
425.289,R,1900544
25211.765,R,135217152
44397.387,R,238272512
923.973,R,4964352
216.388,R,737280
37.504,R,16384
17707.854,R,107757568
43.51,R,16384
8721.703,R,52412416
52.747,R,65536
410.336,R,1818624
4430.0,R,26443776
43.851,R,32768
4657.052,R,27918336
41.635,R,16384
236.15,R,819200
45.688,R,65536
3301.02,R,19578880
39.271,R,16384
24858.809,R,151633920
239.386,R,819200
14482.938,R,87965696
452.354,R,1982464
112.312,R,327680
35.693,R,16384
3843.122,R,22904832
678.345,R,3522560
514.88,R,2490368
69.092,R,147456
428.693,R,1916928
8997.952,R,54394880
431.569,R,1916928
4435.299,R,26443776
8996.713,R,54394880
1783.456,R,10240000
14299.804,R,86900736
2654.22,R,15548416
1865.992,R,10764288
476.996,R,2080768
487.995,R,2195456
14294.656,R,86900736
72.229,R,147456
496.585,R,2310144
