No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes,
8351,17186816,GET,TRUE,2656.296,5770.051,2917.046,2.17,1.1,0.494450569
9028,17416192,GET,TRUE,2690.633,5312.308,2975.974,1.97,1.11,0.439796412
7489,17481728,GET,TRUE,2684.772,6122.75,2911.959,2.28,1.08,0.524403413
5292,17481728,GET,TRUE,3108.092,5358.417,2923.278,1.72,0.94,0.454451193
7916,17481728,GET,TRUE,2686.464,6135.864,3207.282,2.28,1.19,0.477289262
6341,17727488,GET,TRUE,3083.013,4416.317,3329.051,1.43,1.08,0.246192925
7818,17727488,GET,TRUE,2720.746,6007.909,2941.24,2.21,1.08,0.510438657
8169,17727488,GET,TRUE,2721.51,6451.176,3385.027,2.37,1.24,0.475285281
10267,17743872,GET,TRUE,2736.98,6603.713,3453.96,2.41,1.26,0.476966973
881,17743872,GET,TRUE,2723.144,6540.727,3109.04,2.4,1.14,0.52466446
800,17743872,GET,TRUE,2723.689,5921.818,3553.733,2.17,1.3,0.399891554
2856,17743872,GET,TRUE,2724.339,6288.486,3344.025,2.31,1.23,0.468230509
2638,17743872,GET,TRUE,2724.729,6091.166,3218.753,2.24,1.18,0.471570304
283,17743872,GET,TRUE,2723.553,5570.827,2975.464,2.05,1.09,0.465884688
2490,17743872,GET,TRUE,2726.976,5462.831,3238.971,2,1.19,0.407089291
6322,17743872,GET,TRUE,2739.306,6037.526,2995.456,2.2,1.09,0.503860356
151,17743872,GET,TRUE,2723.765,5086.039,3084.366,1.87,1.13,0.393562259
1050,17743872,GET,TRUE,2726.943,6367.259,3350.557,2.33,1.23,0.47378346
10116,17743872,GET,TRUE,2741.576,6236.47,2981.35,2.27,1.09,0.521949115
77,17743872,GET,TRUE,2723.35,5182.352,3493.62,1.9,1.28,0.32586208
2007,17743872,GET,TRUE,2723.632,5777.601,3033.526,2.12,1.11,0.474950589
2224,17743872,GET,TRUE,2723.09,6393.142,3481.282,2.35,1.28,0.455466185
331,17743872,GET,TRUE,2723.306,6514.575,3062.096,2.39,1.12,0.529962277
5191,17743872,GET,TRUE,2740.947,5998.165,3039.64,2.19,1.11,0.493238349
9021,17793024,GET,TRUE,2732.109,5886.072,3639.844,2.15,1.33,0.381617486
5284,17858560,GET,TRUE,2782.378,5742.517,3317.991,2.06,1.19,0.422206151
2672,17924096,GET,TRUE,2751.865,6014.565,3356.949,2.19,1.22,0.441863377
7024,17956864,GET,TRUE,2774.162,5148.63,3014.204,1.86,1.09,0.414561932
5596,17956864,GET,TRUE,2777.721,6083.402,3150.861,2.19,1.13,0.482056093
6297,18055168,GET,TRUE,2773.28,6191.436,3464.881,2.23,1.25,0.440375222
9773,18137088,GET,TRUE,2799.848,8141.917,3099.291,2.91,1.11,0.619341366
8425,18202624,GET,TRUE,2808.509,6094.643,3251.247,2.17,1.16,0.466540206
8108,18300928,GET,TRUE,2837.188,6826.385,3028.754,2.41,1.07,0.556316557
8816,18481152,GET,TRUE,2837.448,6714.253,3088.552,2.37,1.09,0.540000652
9355,18513920,GET,TRUE,2842.247,6186.111,3698.159,2.18,1.3,0.402183537
8017,18513920,GET,TRUE,2842.729,5441.437,3550.823,1.91,1.25,0.347447558
