Size,Type,IsDegradeRead,NativeecTimes,HydraTimes,MicroecTimes
1372,GET,False,4.48,3.18,1.73
1372,GET,False,5.45,3.16,2.13
1372,GET,False,3.25,3.52,2.41
1372,GET,False,5.49,3.15,2.6
1372,GET,False,2.55,2.71,2.0
1372,GET,False,3.48,2.64,1.86
1372,GET,False,4.02,2.45,2.08
1372,GET,True,5.72,3.42,2.08
1372,GET,True,3.11,3.55,2.62
1372,GET,False,2.11,2.21,1.59
1372,GET,False,3.98,3.45,2.41
1376,GET,True,4.38,3.26,2.46
1376,GET,False,4.23,2.81,2.18
1376,GET,False,4.1,4.12,2.26
1388,GET,False,4.93,4.05,2.02
1388,GET,False,2.17,3.85,2.05
1388,GET,False,3.34,3.06,1.8
1392,GET,False,3.11,2.24,1.8
1396,GET,False,3.41,3.22,1.92
1396,GET,False,4.38,3.7,1.93
1400,GET,True,3.49,3.06,2.64
1412,GET,False,3.01,2.6,1.88
1412,GET,False,2.26,2.17,1.94
1412,PUT,False,4.64,3.36,2.09
1412,GET,False,2.34,2.75,1.65
1412,PUT,False,5.75,3.18,2.56
1416,GET,False,5.31,3.65,1.9
1420,GET,False,2.86,3.09,1.79
1420,GET,False,4.49,3.72,2.44
1420,GET,False,2.49,2.4,1.89
1420,GET,False,4.21,2.97,1.83
1420,PUT,False,3.29,3.63,2.32
1420,GET,False,2.04,2.61,1.97
1424,GET,False,3.64,3.73,2.06
1436,GET,False,3.72,3.27,1.73
1436,GET,False,3.08,2.31,2.03
1444,GET,False,2.43,3.7,2.11
1448,GET,False,3.61,2.59,1.6
1448,GET,False,3.54,2.61,2.25
1452,GET,False,3.07,3.73,2.6
1464,GET,False,4.29,2.6,1.98
1480,GET,False,3.79,3.81,2.51
1500,GET,True,4.68,3.77,2.67
1500,GET,False,3.62,4.13,2.45
1500,GET,False,2.83,2.35,1.77
1500,GET,False,4.05,4.02,2.6
1504,GET,False,2.58,3.56,1.92
1504,GET,False,3.58,3.58,1.99
1508,GET,False,3.03,3.5,2.24
1508,GET,False,3.63,2.89,2.5
1512,GET,False,4.44,2.5,1.99
1520,GET,False,3.13,2.88,2.28
1520,GET,False,4.58,3.33,2.56
1524,GET,False,3.69,2.11,1.79
1524,GET,False,3.09,3.42,2.63
1536,GET,False,3.27,3.3,1.82
1544,GET,False,4.37,2.86,2.3
1548,GET,False,2.68,2.52,2.23
1552,GET,False,3.09,2.6,2.48
1556,GET,False,2.33,2.56,1.81
1556,GET,False,3.35,2.96,2.44
1564,GET,False,2.99,3.65,2.38
1568,GET,False,3.58,2.48,2.39
1568,PUT,False,2.84,2.65,2.0
1568,GET,False,2.45,2.87,2.25
1568,GET,True,4.5,3.5,2.1
1576,GET,False,3.88,2.52,2.5
1576,GET,True,3.13,2.91,2.5
1576,GET,True,4.2,3.67,2.46
1576,GET,False,4.65,3.38,2.11
1576,GET,False,3.12,3.22,2.5
1576,GET,True,3.13,3.62,2.35
1576,GET,False,4.84,3.75,2.32
1576,GET,False,2.45,2.21,2.57
1576,GET,False,2.34,1.99,1.72
1576,GET,False,2.41,2.26,1.28
1576,GET,False,5.19,3.92,2.43
1576,GET,False,3.29,2.99,1.79
1576,GET,False,3.2,3.03,2.16
1576,GET,True,5.39,2.81,2.16
1576,GET,False,3.49,2.43,1.7
1576,GET,False,3.4,2.88,2.37
1576,GET,False,4.43,3.28,2.49
