No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
152,8004,GET,true,8.037,21.539,34.402,15.711
153,2628,GET,false,5.236,15.972,17.122,9.975
154,2144,GET,true,5.237,18.953,23.732,14.29
155,3256,GET,true,6.156,19.797,19.525,13.954
156,6908,GET,false,7.162,16.101,16.541,10.807
157,5236,GET,true,5.824,20.876,22.257,14.108
158,196608,GET,true,39.644,103.148,75.714,79.931
159,2628,GET,true,5.259,50.513,24.612,42.005
160,1916928,GET,true,344.638,626.593,555.749,377.511
161,16384,GET,true,7.708,65.965,28.614,18.861
162,54394880,GET,true,8352.381,19068.319,16901.469,11220.997
163,1772,GET,true,5.895,69.337,54.172,15.88
164,8004,GET,true,7.437,27.725,36.922,13.987
165,2628,GET,false,5.058,16.402,18.709,9.149
166,1584,GET,true,4.567,25.576,29.656,13.874
167,2604,GET,false,5.255,15.239,17.305,10.99
168,9576,GET,true,7.158,21.898,23.03,15.773
169,1772,GET,true,4.81,18.738,18.598,12.605
170,2344,GET,true,5.584,18.459,22.853,11.957
171,2420,GET,false,6.321,13.984,39.341,9.841
172,147456,GET,true,32.76,87.759,53.786,64.982
173,671744,GET,false,120.622,115.642,121.697,111.863
174,65536,GET,true,16.357,50.623,34.037,40.353
175,196608,GET,true,40.307,95.76,64.488,103.932
176,2628,GET,true,4.774,48.783,24.107,85.424
177,3376,GET,false,5.741,18.701,15.737,11.574
178,2344,GET,true,5.316,20.282,21.61,15.808
179,2628,GET,false,5.242,19.09,17.173,13.084
180,2424,GET,false,4.901,15.19,18.106,9.639
181,26443776,GET,true,4060.035,9465.927,8090.917,4385.689
182,32768,GET,false,11.093,42.319,29.02,13.218
183,3416,GET,true,5.813,53.97,43.215,15.316
184,7028736,GET,true,1484.461,2384.065,1951.969,1422.069
185,5184,GET,true,6.455,49.754,28.105,16.284
186,1064960,GET,false,191.153,172.932,177.75,168.83
187,9576,GET,true,7.56,26.214,22.795,15.301
188,1980,GET,true,4.859,19.522,20.141,12.18
189,10764288,GET,true,1668.643,3758.554,2840.67,1852.072
190,2828,GET,true,5.755,53.717,38.959,14.831
191,65536,GET,false,16.282,24.659,20.237,16.29
192,5184,GET,false,6.95,21.477,17.101,9.176
193,2344,GET,true,6.044,24.282,22.622,11.575
194,1964,GET,true,5.466,19.458,30.745,12.28
195,7476,GET,false,6.322,16.833,17.073,9.191
196,15269888,GET,true,2347.717,5225.497,3932.024,3215.41
197,1028,GET,false,4.776,26.745,20.642,9.773
198,1720,PUT,false,18.806,63.991,67.197,32.044
199,7946240,GET,false,1225.708,1224.968,1239.144,1222.884
200,2212,GET,true,5.652,22.326,21.736,14.069
201,2628,GET,false,5.254,17.517,16.389,8.836
202,16384,GET,true,8.035,21.937,23.347,14.564
203,2628,GET,true,5.288,18.418,17.555,11.635
204,2628,GET,true,5.968,18.41,20.494,12.119
205,1116,GET,false,4.918,16.398,15.904,8.234
206,6992,GET,false,7.29,16.044,14.578,9.158
207,2628,GET,true,5.569,19.861,20.573,11.964
208,2420,GET,true,4.958,18.713,19.839,11.088
209,2195456,GET,true,343.079,693.966,555.863,437.828
210,65536,GET,false,16.611,32.85,22.181,15.036
211,1236,GET,true,5.087,47.565,26.277,13.3
212,16384,GET,true,8.238,25.126,29.03,14.571
213,5390336,PUT,false,2529.206,3001.398,2215.493,1657.727
214,1988,GET,false,6.91,22.576,31.116,9.489
215,2628,GET,false,5.198,24.227,24.922,9.594
216,16384,GET,true,9.229,45.922,50.587,15.659
217,10368,GET,false,7.203,24.521,23.134,9.802
218,16384,GET,true,6.864,24.349,28.647,11.978
219,2097152,GET,false,327.135,330.401,351.947,327.171
220,671744,PUT,false,317.534,399.264,356.889,224.527
221,358039552,GET,true,54857.371,119545.972,156269.349,73763.638
222,2628,GET,false,14.428,38.766,35.457,7.32
223,16384,GET,true,8.789,82.618,49.898,18.108
224,1156,GET,false,4.852,23.618,19.185,9.437
225,10764288,GET,true,1667.041,3673.262,3096.876,1892.908
226,12284,GET,false,7.598,28.743,16.823,9.926
227,2012,GET,false,4.999,25.109,17.475,8.105
228,12284,GET,true,9.053,48.476,21.575,16.33
229,1040,GET,false,4.813,23.885,13.514,7.927
230,4964352,GET,false,766.767,782.128,767.202,769.064
