readReplicas, filename /tmp16777216replicas.dat, loop 1000
/tmp16777216replicas.dat is a ReplicasFile!
starting benchmark...
Loop 329 (us) 2575.373
Loop 330 (us) 2574.669
Loop 331 (us) 2574.448
Loop 332 (us) 2574.458
Loop 333 (us) 2574.555
Loop 334 (us) 2575.795
Loop 335 (us) 2575.564
Loop 336 (us) 2574.482
Loop 337 (us) 2575.272
Loop 338 (us) 2575.401
Loop 339 (us) 2575.545
Loop 340 (us) 2575.884
Loop 341 (us) 2574.256
Loop 342 (us) 2574.307
Loop 343 (us) 2575.457
Loop 344 (us) 2574.429
Loop 345 (us) 2575.769
Loop 346 (us) 2574.624
Loop 347 (us) 2574.519
Loop 348 (us) 2574.349
Loop 349 (us) 2575.302
Loop 350 (us) 2574.939
Loop 351 (us) 2575.754
Loop 352 (us) 2574.902
Loop 353 (us) 2574.387
Loop 354 (us) 2575.519
Loop 355 (us) 2575.563
Loop 356 (us) 2575.571
Loop 357 (us) 2575.529
Loop 358 (us) 2574.485
Loop 359 (us) 2574.718
Loop 360 (us) 2575.529
Loop 361 (us) 2575.368
Loop 362 (us) 2576.061
Loop 363 (us) 2575.361
Loop 364 (us) 2574.44
Loop 365 (us) 2574.492
Loop 366 (us) 2575.359
Loop 367 (us) 2574.753
Loop 368 (us) 2574.501
Loop 369 (us) 2574.43
Loop 370 (us) 2574.62
Loop 371 (us) 2575.368
Loop 372 (us) 2575.491
Loop 373 (us) 2575.452
Loop 374 (us) 2575.449
Loop 375 (us) 2575.567
Loop 376 (us) 2575.497
Loop 377 (us) 2575.404
Loop 378 (us) 2574.437
Loop 379 (us) 2576.029
Loop 380 (us) 2575.498
Loop 381 (us) 3726.26
Loop 382 (us) 2576.476
Loop 383 (us) 2574.456
Loop 384 (us) 2575.485
Loop 385 (us) 2575.139
Loop 386 (us) 2576.1
Loop 387 (us) 2574.697
Loop 388 (us) 2575.504
Loop 389 (us) 2574.137
Loop 390 (us) 2574.273
Loop 391 (us) 2575.622
Loop 392 (us) 2574.554
Loop 393 (us) 2575.428
