recoveryReplicas, filename /tmp4194304replicas.dat, loop 1000
/tmp4194304replicas.dat is a ReplicasFile!
starting benchmark...
Loop 385 (us) 1940.663
Loop 386 (us) 1939.649
Loop 387 (us) 1940.665
Loop 388 (us) 1939.28
Loop 389 (us) 1939.673
Loop 390 (us) 1939.455
Loop 391 (us) 1938.855
Loop 392 (us) 1940.754
Loop 393 (us) 1939.178
Loop 394 (us) 1939.53
Loop 395 (us) 1939.172
Loop 396 (us) 1939.666
Loop 397 (us) 1940.227
Loop 398 (us) 1939.079
Loop 399 (us) 1938.976
Loop 400 (us) 1939.17
Loop 401 (us) 1938.874
Loop 402 (us) 1938.595
Loop 403 (us) 1939.304
Loop 404 (us) 1938.75
Loop 405 (us) 1939.391
Loop 406 (us) 1939.869
Loop 407 (us) 1939.717
Loop 408 (us) 1939.448
Loop 409 (us) 1938.795
Loop 410 (us) 1938.696
Loop 411 (us) 1938.61
Loop 412 (us) 1938.622
Loop 413 (us) 1939.223
Loop 414 (us) 1939.136
Loop 415 (us) 1938.739
Loop 416 (us) 1938.693
Loop 417 (us) 1939.641
Loop 418 (us) 1938.677
Loop 419 (us) 1938.791
Loop 420 (us) 1938.635
Loop 421 (us) 1939.257
Loop 422 (us) 1938.99
Loop 423 (us) 1939.146
Loop 424 (us) 1939.047
Loop 425 (us) 1939.991
Loop 426 (us) 1939.013
Loop 427 (us) 1939.003
Loop 428 (us) 1938.459
Loop 429 (us) 1938.561
Loop 430 (us) 1939.204
Loop 431 (us) 1938.768
Loop 432 (us) 1939.37
Loop 433 (us) 1938.99
Loop 434 (us) 1939.475
Loop 435 (us) 1940.11
Loop 436 (us) 1939.421
Loop 437 (us) 1938.899
Loop 438 (us) 1938.594
Loop 439 (us) 1938.767
Loop 440 (us) 1939.172
Loop 441 (us) 1938.833
Loop 442 (us) 1939.126
Loop 443 (us) 1939.455
Loop 444 (us) 1939.663
Loop 445 (us) 1940.009
Loop 446 (us) 1940.297
Loop 447 (us) 1939.518
Loop 448 (us) 1939.376
Loop 449 (us) 1939.465
Loop 450 (us) 1940.216
Loop 451 (us) 1939.683
Loop 452 (us) 1939.571
Loop 453 (us) 1940.98
Loop 454 (us) 1939.855
Loop 455 (us) 1940.445
Loop 456 (us) 1939.986
Loop 457 (us) 1940.402
Loop 458 (us) 1940.035
Loop 459 (us) 1940.373
Loop 460 (us) 1940.05
Loop 461 (us) 1939.523
Loop 462 (us) 1939.276
Loop 463 (us) 1939.148
Loop 464 (us) 1942.018
Loop 465 (us) 1940.068
Loop 466 (us) 1940.025
Loop 467 (us) 1939.238
Loop 468 (us) 1939.481
Loop 469 (us) 1939.517
Loop 470 (us) 1939.798
Loop 471 (us) 1939.396
Loop 472 (us) 1939.737
Loop 473 (us) 1940.115
Loop 474 (us) 1939.82
Loop 475 (us) 1939.789
Loop 476 (us) 1940.194
Loop 477 (us) 1939.578
Loop 478 (us) 1939.645
Loop 479 (us) 1939.048
Loop 480 (us) 1939.726
Loop 481 (us) 1940.259
Loop 482 (us) 1940.138
Loop 483 (us) 1939.368
Loop 484 (us) 1939.842
Loop 485 (us) 1941.003
Loop 486 (us) 1939.418
Loop 487 (us) 1939.433
Loop 488 (us) 1939.527
Loop 489 (us) 1940.141
Loop 490 (us) 1939.581
Loop 491 (us) 1939.877
Loop 492 (us) 1940.511
Loop 493 (us) 1939.935
Loop 494 (us) 1939.379
Loop 495 (us) 1939.582
Loop 496 (us) 1940.139
Loop 497 (us) 1939.86
Loop 498 (us) 1939.01
Loop 499 (us) 1939.383
Loop 500 (us) 1939.197
Loop 501 (us) 1939.486
Loop 502 (us) 1939.463
Loop 503 (us) 1940.207
Loop 504 (us) 1939.679
Loop 505 (us) 1939.618
Loop 506 (us) 1940.244
Loop 507 (us) 1939.526
Loop 508 (us) 1940.6
Loop 509 (us) 1941.76
Loop 510 (us) 1940.598
Loop 511 (us) 1940.215
Loop 512 (us) 1940.059
Loop 513 (us) 1939.369
Loop 514 (us) 1939.189
Loop 515 (us) 1940.123
Loop 516 (us) 1939.827
Loop 517 (us) 1939.551
Loop 518 (us) 1939.664
Loop 519 (us) 1939.101
Loop 520 (us) 1939.603
Loop 521 (us) 1939.844
Loop 522 (us) 1940.513
Loop 523 (us) 1940.752
Loop 524 (us) 1939.657
Loop 525 (us) 1940.235
Loop 526 (us) 1939.615
Loop 527 (us) 1940.308
Loop 528 (us) 1940.027
Loop 529 (us) 1939.946
Loop 530 (us) 1939.562
Loop 531 (us) 1939.451
Loop 532 (us) 1939.684
Loop 533 (us) 1940.364
Loop 534 (us) 1938.38
Loop 535 (us) 1940.425
Loop 536 (us) 1941.077
Loop 537 (us) 1939.505
Loop 538 (us) 1940.367
Loop 539 (us) 1939.486
Loop 540 (us) 1939.372
Loop 541 (us) 1939.944
Loop 542 (us) 1939.586
Loop 543 (us) 1939.809
Loop 544 (us) 1939.382
Loop 545 (us) 1940.643
Loop 546 (us) 1939.37
Loop 547 (us) 1939.297
Loop 548 (us) 1939.817
Loop 549 (us) 1967.925
Loop 550 (us) 1941.197
Loop 551 (us) 1948.935
Loop 552 (us) 1939.761
Loop 553 (us) 1940.167
Loop 554 (us) 1939.82
Loop 555 (us) 1940.265
Loop 556 (us) 1939.871
Loop 557 (us) 1939.436
Loop 558 (us) 1939.571
Loop 559 (us) 1939.511
Loop 560 (us) 1939.845
Loop 561 (us) 1940.366
Loop 562 (us) 1939.716
Loop 563 (us) 1939.842
Loop 564 (us) 1940.651
Loop 565 (us) 1940.062
Loop 566 (us) 1939.517
Loop 567 (us) 1939.345
Loop 568 (us) 1939.281
Loop 569 (us) 1940.009
Loop 570 (us) 1939.827
Loop 571 (us) 1939.819
Loop 572 (us) 1939.96
Loop 573 (us) 1939.343
Loop 574 (us) 1939.472
Loop 575 (us) 1939.404
Loop 576 (us) 1941.742
Loop 577 (us) 1940.852
Loop 578 (us) 1940.165
Loop 579 (us) 1939.542
Loop 580 (us) 1939.989
Loop 581 (us) 1940.189
Loop 582 (us) 1940.515
Loop 583 (us) 1938.808
Loop 584 (us) 1942.879
Loop 585 (us) 1948.163
Loop 586 (us) 1940.126
Loop 587 (us) 1939.236
Loop 588 (us) 1939.693
Loop 589 (us) 1939.919
Loop 590 (us) 1939.57
Loop 591 (us) 1939.378
Loop 592 (us) 1939.129
Loop 593 (us) 1940.789
Loop 594 (us) 1939.237
Loop 595 (us) 1939.997
Loop 596 (us) 1941.172
Loop 597 (us) 1939.112
Loop 598 (us) 1939.841
Loop 599 (us) 1939.677
Loop 600 (us) 1939.297
Loop 601 (us) 1939.945
Loop 602 (us) 1939.626
Loop 603 (us) 1939.503
Loop 604 (us) 1939.227
Loop 605 (us) 1939.102
Loop 606 (us) 1939.346
Loop 607 (us) 1939.307
Loop 608 (us) 1939.392
Loop 609 (us) 1939.741
Loop 610 (us) 1939.119
Loop 611 (us) 1939.701
Loop 612 (us) 1939.632
Loop 613 (us) 1939.273
Loop 614 (us) 1939.227
Loop 615 (us) 1939.6
Loop 616 (us) 1939.992
Loop 617 (us) 1940.174
Loop 618 (us) 1940.176
Loop 619 (us) 1940.361
Loop 620 (us) 1939.794
Loop 621 (us) 1940.117
Loop 622 (us) 1939.447
Loop 623 (us) 1939.976
Loop 624 (us) 1939.682
Loop 625 (us) 1939.576
Loop 626 (us) 1939.704
Loop 627 (us) 1938.96
Loop 628 (us) 1939.47
Loop 629 (us) 1939.694
Loop 630 (us) 1939.04
Loop 631 (us) 1939.639
Loop 632 (us) 1939.811
Loop 633 (us) 1939.34
Loop 634 (us) 1939.632
Loop 635 (us) 1939.503
Loop 636 (us) 1939.513
Loop 637 (us) 1939.257
Loop 638 (us) 1939.667
Loop 639 (us) 1939.27
Loop 640 (us) 1940.769
Loop 641 (us) 1939.355
Loop 642 (us) 1939.074
Loop 643 (us) 1939.47
Loop 644 (us) 1939.098
Loop 645 (us) 1939.587
Loop 646 (us) 1939.141
Loop 647 (us) 1939.105
Loop 648 (us) 1939.509
Loop 649 (us) 1940.066
Loop 650 (us) 1939.063
Loop 651 (us) 1945.398
Loop 652 (us) 1939.63
Loop 653 (us) 1938.879
Loop 654 (us) 1939.308
Loop 655 (us) 1942.978
Loop 656 (us) 1939.603
Loop 657 (us) 1939.025
Loop 658 (us) 1938.943
Loop 659 (us) 1939.267
Loop 660 (us) 1940.061
Loop 661 (us) 1939.575
Loop 662 (us) 1939.484
Loop 663 (us) 1939.524
Loop 664 (us) 1939.667
Loop 665 (us) 1939.802
Loop 666 (us) 1939.402
Loop 667 (us) 1940.661
Loop 668 (us) 1939.47
Loop 669 (us) 1940.51
Loop 670 (us) 1940.57
Loop 671 (us) 1945.6
Loop 672 (us) 1939.797
Loop 673 (us) 1939.711
Loop 674 (us) 1939.163
Loop 675 (us) 1939.448
Loop 676 (us) 1939.118
Loop 677 (us) 1944.058
Loop 678 (us) 1939.792
Loop 679 (us) 1939.548
Loop 680 (us) 1938.992
Loop 681 (us) 1939.499
Loop 682 (us) 1939.798
Loop 683 (us) 1939.71
Loop 684 (us) 1939.964
