writeMicroEC_CodingDescent, filename /tmp65536microec.dat, size 65536, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 4
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [8192, 12288, 16384]
starting benchmark...
replicas primary file /tmp65536microec.dat capacity 0
replicas slave file /tmp65536microec.datLQL0 capacity 0
replicas slave file /tmp65536microec.datLQL1 capacity 0
replicas slave file /tmp65536microec.datLQL2 capacity 0
replicas slave file /tmp65536microec.datLQL3 capacity 0
replicas slave file /tmp65536microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
Loop 466 (us) 49.55
Loop 467 (us) 48.639
Loop 468 (us) 50.099
Loop 469 (us) 49.288
Loop 470 (us) 49.805
Loop 471 (us) 52.369
Loop 472 (us) 49.997
Loop 473 (us) 49.142
Loop 474 (us) 49.512
Loop 475 (us) 49.532
Loop 476 (us) 49.191
Loop 477 (us) 48.194
Loop 478 (us) 50.139
Loop 479 (us) 50.246
Loop 480 (us) 48.932
Loop 481 (us) 48.949
Loop 482 (us) 54.198
Loop 483 (us) 49.86
Loop 484 (us) 54.821
Loop 485 (us) 52.827
Loop 486 (us) 50.212
Loop 487 (us) 51.258
Loop 488 (us) 49.058
Loop 489 (us) 49.184
Loop 490 (us) 48.464
Loop 491 (us) 49.395
Loop 492 (us) 49.328
Loop 493 (us) 50.995
Loop 494 (us) 50.186
Loop 495 (us) 50.259
Loop 496 (us) 49.705
Loop 497 (us) 50.603
Loop 498 (us) 49.619
Loop 499 (us) 50.963
Loop 500 (us) 49.587
Loop 501 (us) 48.736
Loop 502 (us) 49.869
Loop 503 (us) 48.459
Loop 504 (us) 49.534
Loop 505 (us) 48.383
Loop 506 (us) 50.159
Loop 507 (us) 51.343
Loop 508 (us) 49.801
Loop 509 (us) 64.054
Loop 510 (us) 51.042
Loop 511 (us) 50.728
Loop 512 (us) 50.303
Loop 513 (us) 49.632
Loop 514 (us) 50.095
Loop 515 (us) 51.389
Loop 516 (us) 49.516
Loop 517 (us) 50.925
Loop 518 (us) 50.791
Loop 519 (us) 52.194
Loop 520 (us) 50.087
Loop 521 (us) 51.79
Loop 522 (us) 50.421
Loop 523 (us) 50.241
Loop 524 (us) 52.0
Loop 525 (us) 50.144
Loop 526 (us) 49.044
Loop 527 (us) 70.471
Loop 528 (us) 54.835
Loop 529 (us) 51.382
Loop 530 (us) 50.239
Loop 531 (us) 50.517
Loop 532 (us) 49.636
Loop 533 (us) 49.898
Loop 534 (us) 50.244
Loop 535 (us) 49.781
Loop 536 (us) 51.679
Loop 537 (us) 55.624
Loop 538 (us) 51.445
Loop 539 (us) 55.318
Loop 540 (us) 51.154
Loop 541 (us) 49.313
Loop 542 (us) 48.264
Loop 543 (us) 49.401
Loop 544 (us) 48.945
Loop 545 (us) 48.843
Loop 546 (us) 49.543
Loop 547 (us) 48.186
Loop 548 (us) 47.826
Loop 549 (us) 49.107
Loop 550 (us) 51.354
Loop 551 (us) 49.157
Loop 552 (us) 50.162
Loop 553 (us) 49.257
Loop 554 (us) 49.493
Loop 555 (us) 49.224
Loop 556 (us) 48.205
Loop 557 (us) 48.653
Loop 558 (us) 48.849
Loop 559 (us) 48.895
Loop 560 (us) 49.614
Loop 561 (us) 49.066
Loop 562 (us) 59.758
Loop 563 (us) 51.748
Loop 564 (us) 50.443
Loop 565 (us) 50.971
Loop 566 (us) 49.129
Loop 567 (us) 51.081
Loop 568 (us) 48.564
Loop 569 (us) 51.106
Loop 570 (us) 50.45
Loop 571 (us) 50.07
Loop 572 (us) 51.831
Loop 573 (us) 51.808
Loop 574 (us) 55.896
Loop 575 (us) 51.103
Loop 576 (us) 49.499
Loop 577 (us) 51.313
Loop 578 (us) 50.705
Loop 579 (us) 51.192
Loop 580 (us) 49.632
Loop 581 (us) 235.165
Loop 582 (us) 76.36
Loop 583 (us) 48.777
Loop 584 (us) 47.471
Loop 585 (us) 47.962
Loop 586 (us) 46.319
Loop 587 (us) 66.945
Loop 588 (us) 49.014
Loop 589 (us) 48.425
Loop 590 (us) 45.323
Loop 591 (us) 45.96
Loop 592 (us) 49.485
Loop 593 (us) 46.423
Loop 594 (us) 46.51
