No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
247,2056,GET,true,4.227,18.202,17.648,13.724
248,2192,GET,true,4.601,17.054,18.826,12.604
249,6736,GET,false,6.169,13.284,18.882,9.914
250,1420,GET,false,4.748,13.597,14.692,8.482
251,2628,GET,true,5.309,17.548,17.211,12.565
252,2628,GET,false,4.623,15.583,14.67,9.441
253,2344,GET,true,4.584,17.177,17.774,12.511
254,32768,GET,false,10.231,15.751,16.652,12.306
255,16384,GET,false,7.221,14.712,14.853,10.375
256,6111232,GET,false,942.665,946.577,945.333,941.997
257,2604,GET,true,5.593,19.425,20.377,13.54
258,2056,PUT,false,461.567,25.787,26.21,21.896
259,13090816,GET,true,2019.01,3770.537,2996.378,2217.986
260,82509824,GET,true,12646.824,27490.281,22756.435,17226.056
261,6708,GET,false,6.884,30.781,33.764,9.997
262,2040,GET,false,5.01,23.351,15.522,8.526
263,24608768,GET,true,3780.884,8138.074,6849.703,5195.618
264,1820,GET,false,4.803,26.173,25.609,9.939
265,82493440,PUT,false,42811.968,41711.017,24138.944,26831.177
266,2216,GET,false,8.117,23.896,26.996,10.562
267,1800,GET,false,5.798,16.509,17.568,8.495
268,2129920,GET,false,376.198,334.623,336.648,332.514
269,1780,PUT,false,11.458,74.74,75.884,26.498
270,16384,GET,true,8.636,32.302,31.181,17.243
271,33505280,GET,false,5157.197,5147.122,5142.609,5140.26
272,2212,GET,true,6.371,26.445,57.245,13.694
273,19152896,GET,true,2940.673,5964.292,4910.986,3249.916
274,1132,PUT,false,11.459,60.104,53.164,23.267
275,1436,GET,false,5.243,19.522,17.164,9.088
276,16384,GET,false,8.637,19.586,18.499,10.215
277,6708,GET,false,7.666,19.165,13.597,10.279
278,2224,PUT,false,10.966,35.378,28.695,20.748
279,1800,GET,true,5.732,25.082,21.311,14.515
280,1240,GET,false,4.961,18.142,13.477,9.147
281,43171840,GET,true,6618.598,13539.206,11429.407,7597.584
282,1132,GET,false,5.742,35.909,32.798,10.439
283,1508,GET,false,4.668,26.058,19.683,8.905
284,22102016,GET,true,3391.391,7041.06,5877.606,4131.601
285,6536,PUT,false,12.964,52.589,51.509,27.986
286,43171840,GET,false,6637.884,6640.045,6620.737,6627.159
287,4684,GET,true,6.712,31.18,25.625,16.238
288,4576,GET,false,5.801,17.548,13.328,9.326
289,8585216,GET,false,1336.867,1322.679,1323.824,1321.086
290,11010048,GET,true,1710.415,3131.332,2690.87,2140.404
291,1128,GET,true,4.55,25.957,27.407,15.098
292,19070976,PUT,false,9702.805,10007.642,6631.971,5598.65
293,6724,GET,true,7.257,49.227,47.014,20.345
294,2628,GET,true,5.877,30.168,22.147,15.369
295,12284,GET,true,7.919,41.609,30.132,16.227
296,1156,GET,true,7.411,26.519,18.1,14.178
297,1988,GET,true,5.389,22.882,20.476,14.33
298,2996,GET,true,6.055,23.051,16.361,19.928
299,8040,GET,true,7.992,24.379,20.188,15.661
300,4684,GET,true,6.521,23.622,19.25,18.978
301,19070976,GET,false,2927.698,2962.724,2927.787,2929.505
302,1772,GET,true,6.091,24.391,22.838,14.25
303,479461376,GET,true,73442.865,151558.204,138403.758,94266.503
304,5420,GET,true,7.076,71.123,45.223,16.448
305,1980,GET,false,4.297,20.473,17.899,9.808
306,6720,GET,true,6.758,20.903,19.137,13.587
307,1336,GET,false,4.868,19.687,17.24,8.444
308,1236,GET,false,5.062,14.911,12.332,9.275
309,10764288,GET,false,1662.524,1678.474,1658.676,1658.541
310,2097152,GET,false,328.724,329.651,331.708,326.869
311,2252,GET,true,4.852,27.34,21.179,12.309
312,1040,GET,false,3.707,18.61,14.991,8.493
313,2628,GET,false,5.35,17.28,13.397,8.381
314,1980,GET,false,4.409,16.221,14.751,7.939
315,1064960,GET,true,192.133,456.143,269.922,222.066
316,163840,GET,false,33.255,37.571,34.348,30.182
317,42483712,GET,true,6515.629,15804.711,11952.637,7771.606
318,9292,GET,false,7.303,36.285,36.66,10.478
319,2208,GET,false,4.47,25.914,21.664,9.683
320,1460,GET,true,4.596,55.206,31.769,15.09
321,1152,GET,false,4.654,29.8,17.054,10.29
322,2252,GET,false,4.806,22.256,14.6,10.947
323,163840,GET,true,34.772,95.295,51.899,70.748
324,65536,GET,true,16.329,61.015,31.236,40.956
325,9544,GET,true,6.389,28.46,20.105,16.217
326,4752,GET,true,5.942,23.725,21.057,14.872
327,6720,GET,false,6.223,18.71,14.181,10.547
328,3004,GET,true,5.393,24.995,20.247,13.552
329,3020,GET,false,5.186,17.504,13.937,10.057
330,1528,GET,true,4.272,23.372,16.513,12.803
331,819200,GET,false,150.617,138.298,132.605,131.121
332,7120,GET,true,5.565,21.594,21.285,13.833
333,139378688,GET,false,21372.553,21387.181,21363.698,21355.633
334,16384,PUT,false,17.196,46.458,37.804,32.586
335,44056576,GET,false,6763.63,6779.74,6779.479,6755.146
336,1460,GET,true,4.353,18.282,17.974,13.046
337,1500,GET,true,4.667,21.833,17.611,12.441
338,72679424,GET,true,11152.3,24621.924,20493.181,22133.931
339,8248,GET,false,7.051,42.295,31.158,20.026
340,1128,GET,false,4.479,22.856,16.077,15.052
341,12156,GET,false,7.734,17.1,16.827,11.774
342,2056,GET,true,5.168,60.08,25.981,23.883
343,2832,GET,false,5.602,20.462,17.182,12.863
344,1132,PUT,false,10.417,36.383,36.569,29.27
345,82493440,GET,true,12641.858,30320.337,24333.697,36223.387
346,65536,GET,false,17.189,36.622,150.326,21.501
347,2996,GET,false,4.908,30.23,31.214,12.132
348,4524,GET,false,5.841,22.236,17.851,15.347
349,4680,GET,false,5.668,19.905,27.204,12.87
350,1388,GET,true,4.903,57.703,69.03,28.128
351,4708,GET,true,5.384,27.875,24.495,16.287
352,1504,GET,false,4.757,14.803,22.815,11.223
353,30523392,GET,true,4680.911,11315.865,8528.644,18517.18
354,1988,GET,false,5.24,36.047,28.137,12.191
355,79560704,GET,false,12191.165,12221.378,12250.723,12194.051
356,1916928,GET,true,343.832,695.916,498.969,387.586
357,46891008,GET,true,7205.482,16168.964,13187.678,8651.747
358,6748,GET,false,6.787,36.949,36.104,14.443
359,2572288,GET,false,400.007,403.023,407.63,399.756
360,29949952,GET,false,4610.564,4610.883,4606.486,4596.659
361,4688,GET,true,6.541,43.939,37.118,22.607
362,4688,GET,true,4.459,22.78,17.382,12.31
363,2628,GET,true,4.723,18.995,23.405,15.065
364,3244,GET,false,6.13,16.67,15.966,11.001
365,2996,GET,false,5.702,14.395,29.737,10.677
366,1536,GET,true,4.782,18.724,19.011,13.779
367,690372608,GET,true,105744.71,213855.501,647070.879,126607.185
368,32768,GET,true,10.401,73.564,71.632,21.032
369,4164,GET,true,5.523,24.054,22.124,13.242
370,16384,GET,false,7.702,16.934,33.931,11.327
371,1277952,GET,false,212.601,203.593,203.839,201.876
372,1624,GET,true,4.462,18.666,21.13,13.755
373,92979200,GET,true,14264.917,30565.722,28526.019,17508.516
374,1152,GET,false,4.745,28.899,77.465,10.965
375,10576,GET,true,6.828,38.753,34.085,16.233
376,22822912,GET,true,3516.766,7798.866,6359.832,4564.659
377,314081280,GET,true,48110.977,100780.51,90447.781,113588.919
378,2628,GET,false,5.556,32.912,31.691,22.936
379,2628,GET,true,5.022,62.437,39.398,30.281
380,7676,GET,true,6.898,33.059,24.089,20.942
381,3044,GET,false,4.96,16.719,16.06,14.45
382,2628,GET,true,5.024,20.926,18.215,16.418
383,54394880,GET,false,8353.838,8356.056,8346.289,8352.024
384,16384,GET,false,8.283,19.188,20.922,14.817
385,2628,GET,true,4.564,28.657,28.418,17.793
386,11692,GET,false,7.567,18.807,15.593,13.716
387,1932,GET,false,4.319,17.802,13.748,10.599
388,1128,GET,true,4.205,22.656,16.619,14.474
389,1900544,GET,false,297.763,299.204,299.766,297.568
390,1356,GET,false,4.158,17.838,13.244,11.842
391,7676,GET,true,6.17,25.543,20.849,17.434
392,2200,GET,false,4.945,17.644,14.586,12.19
393,82493440,GET,true,12641.146,28032.239,23456.852,17191.63
394,30883840,GET,true,4753.634,10702.915,8663.965,29752.531
395,2056,GET,true,5.624,71.383,41.478,21.787
396,1068,GET,true,3.941,30.442,23.322,14.504
397,82493440,GET,false,12643.703,12661.828,12654.398,12643.569
398,2608,GET,true,5.788,25.454,24.17,16.232
399,1728,GET,true,4.239,20.007,23.055,14.374
400,1348,PUT,false,10.922,39.549,104.602,30.037
401,2628,GET,true,4.8,20.666,58.142,15.361
402,11943936,GET,false,1847.19,1842.331,1843.132,1836.391
403,4128768,GET,false,638.955,641.32,639.244,638.671
404,1128,GET,false,4.299,16.183,15.805,10.362
405,16384,GET,false,8.877,16.305,14.257,19.111
406,16384,GET,true,7.951,24.534,20.631,17.851
407,1228800,GET,true,205.901,414.84,307.116,25756.598
408,2964,GET,true,4.942,51.227,19.694,15.541
409,1900544,GET,false,296.738,299.749,299.746,298.005
410,360448,GET,false,68.534,62.283,62.803,60.975
411,606208,GET,false,112.181,99.82,99.5,99.682
412,1372,GET,false,4.265,16.992,14.701,10.264
413,1356,GET,true,4.404,21.72,22.907,14.275
414,6608,GET,false,6.389,16.218,16.832,10.644
415,7248,GET,false,6.72,15.474,18.228,11.458
416,1228800,GET,false,205.26,194.07,196.604,193.257
417,1256,GET,true,4.411,20.959,19.541,13.215
