recoveryReplicas, filename /tmp16777216replicas.dat, loop 1000
/tmp16777216replicas.dat is a ReplicasFile!
starting benchmark...
Loop 465 (us) 5153.447
Loop 466 (us) 5152.728
Loop 467 (us) 5153.662
Loop 468 (us) 5152.892
Loop 469 (us) 5154.048
Loop 470 (us) 5154.564
Loop 471 (us) 5153.19
Loop 472 (us) 5152.332
Loop 473 (us) 5152.763
Loop 474 (us) 5152.075
Loop 475 (us) 5152.719
Loop 476 (us) 5151.844
Loop 477 (us) 5152.038
Loop 478 (us) 5153.965
Loop 479 (us) 5152.342
Loop 480 (us) 5152.054
Loop 481 (us) 5151.445
Loop 482 (us) 5152.307
Loop 483 (us) 5152.243
Loop 484 (us) 5153.186
Loop 485 (us) 5152.123
Loop 486 (us) 5152.087
Loop 487 (us) 5153.328
Loop 488 (us) 5152.339
Loop 489 (us) 5153.463
Loop 490 (us) 5152.88
Loop 491 (us) 5152.493
Loop 492 (us) 5153.039
Loop 493 (us) 5151.813
Loop 494 (us) 5152.318
Loop 495 (us) 5152.088
Loop 496 (us) 5152.355
Loop 497 (us) 5153.427
Loop 498 (us) 5154.298
Loop 499 (us) 5154.496
Loop 500 (us) 5152.576
Loop 501 (us) 5154.045
Loop 502 (us) 5153.477
Loop 503 (us) 5152.879
Loop 504 (us) 5151.631
Loop 505 (us) 5153.39
Loop 506 (us) 5153.342
Loop 507 (us) 5152.411
Loop 508 (us) 5152.623
Loop 509 (us) 5151.588
Loop 510 (us) 5151.949
Loop 511 (us) 5155.612
Loop 512 (us) 5152.122
Loop 513 (us) 5151.046
Loop 514 (us) 5153.498
Loop 515 (us) 5153.16
Loop 516 (us) 5151.778
Loop 517 (us) 5151.73
Loop 518 (us) 5152.776
Loop 519 (us) 5154.026
Loop 520 (us) 5152.274
Loop 521 (us) 5152.349
Loop 522 (us) 5152.385
Loop 523 (us) 5151.174
Loop 524 (us) 5151.799
Loop 525 (us) 5152.415
Loop 526 (us) 5152.136
Loop 527 (us) 5152.198
Loop 528 (us) 5151.793
Loop 529 (us) 5151.925
Loop 530 (us) 5152.879
Loop 531 (us) 5152.151
Loop 532 (us) 5151.909
Loop 533 (us) 5152.248
Loop 534 (us) 5153.831
Loop 535 (us) 5152.879
Loop 536 (us) 5153.363
Loop 537 (us) 5150.523
Loop 538 (us) 5153.72
Loop 539 (us) 5151.943
Loop 540 (us) 5151.614
Loop 541 (us) 5151.886
Loop 542 (us) 5153.049
Loop 543 (us) 5151.011
Loop 544 (us) 5152.304
Loop 545 (us) 5152.119
Loop 546 (us) 5153.589
Loop 547 (us) 5153.685
Loop 548 (us) 5152.81
Loop 549 (us) 5151.547
Loop 550 (us) 5152.473
Loop 551 (us) 5152.047
Loop 552 (us) 5152.57
Loop 553 (us) 5151.676
Loop 554 (us) 5152.244
Loop 555 (us) 5151.649
Loop 556 (us) 5151.181
Loop 557 (us) 5152.65
Loop 558 (us) 5151.852
Loop 559 (us) 5151.51
Loop 560 (us) 5151.317
Loop 561 (us) 5151.768
Loop 562 (us) 5151.498
Loop 563 (us) 5152.437
Loop 564 (us) 5152.561
Loop 565 (us) 5150.993
Loop 566 (us) 5152.016
Loop 567 (us) 5152.934
Loop 568 (us) 5153.634
Loop 569 (us) 5153.347
Loop 570 (us) 5153.688
Loop 571 (us) 5152.051
Loop 572 (us) 5151.796
Loop 573 (us) 5153.073
Loop 574 (us) 5154.39
Loop 575 (us) 5152.797
Loop 576 (us) 5153.217
Loop 577 (us) 5152.183
Loop 578 (us) 5152.023
Loop 579 (us) 5151.265
Loop 580 (us) 5151.913
Loop 581 (us) 5150.891
Loop 582 (us) 5152.365
Loop 583 (us) 5152.517
Loop 584 (us) 5153.04
Loop 585 (us) 5151.54
Loop 586 (us) 5154.243
Loop 587 (us) 5153.504
Loop 588 (us) 5152.896
Loop 589 (us) 5151.724
Loop 590 (us) 5152.946
Loop 591 (us) 5152.133
Loop 592 (us) 5152.603
Loop 593 (us) 5154.729
Loop 594 (us) 5153.922
Loop 595 (us) 5153.19
Loop 596 (us) 5154.992
Loop 597 (us) 5153.142
Loop 598 (us) 5154.812
Loop 599 (us) 5151.663
Loop 600 (us) 5151.053
Loop 601 (us) 5152.389
Loop 602 (us) 5153.31
Loop 603 (us) 5151.011
Loop 604 (us) 5152.048
Loop 605 (us) 5151.867
Loop 606 (us) 5151.121
Loop 607 (us) 5152.81
Loop 608 (us) 5152.497
Loop 609 (us) 5153.127
Loop 610 (us) 5151.832
Loop 611 (us) 5151.939
Loop 612 (us) 5153.198
Loop 613 (us) 5153.492
Loop 614 (us) 5152.288
Loop 615 (us) 5153.444
Loop 616 (us) 5153.047
Loop 617 (us) 5151.257
Loop 618 (us) 5151.1
Loop 619 (us) 5153.38
Loop 620 (us) 5152.514
Loop 621 (us) 5152.037
Loop 622 (us) 5153.148
Loop 623 (us) 5154.326
Loop 624 (us) 5152.765
Loop 625 (us) 5152.624
Loop 626 (us) 5152.964
Loop 627 (us) 5152.902
Loop 628 (us) 5152.322
Loop 629 (us) 5153.971
Loop 630 (us) 5152.775
Loop 631 (us) 5151.815
Loop 632 (us) 5151.871
Loop 633 (us) 5153.156
Loop 634 (us) 5154.729
Loop 635 (us) 5153.084
Loop 636 (us) 5153.795
Loop 637 (us) 5153.094
Loop 638 (us) 5152.993
Loop 639 (us) 5152.819
Loop 640 (us) 5154.049
Loop 641 (us) 5152.167
Loop 642 (us) 5152.099
Loop 643 (us) 5153.365
Loop 644 (us) 5151.739
Loop 645 (us) 5151.888
Loop 646 (us) 5151.934
Loop 647 (us) 5150.893
Loop 648 (us) 5153.712
Loop 649 (us) 5151.228
Loop 650 (us) 5153.58
Loop 651 (us) 5153.287
Loop 652 (us) 5151.842
Loop 653 (us) 5151.97
Loop 654 (us) 5152.174
Loop 655 (us) 5153.789
Loop 656 (us) 5151.843
Loop 657 (us) 5152.026
Loop 658 (us) 5152.581
Loop 659 (us) 5152.343
